Cluster,HLA,Correlation
4of5,HLA_A3601,0.34
1of5,HLA_B0704,0.34
2of5,HLA_B3501,0.34
2of5,HLA_A3303,0.34
1of5,HLA_A1102,0.34
4of5,HLA_B3906,0.34
4of5,HLA_A1102,0.34
4of5,HLA_B3501,0.34
1of5,HLA_B1510,0.34
1of5,HLA_C1505,0.34
1of5,HLA_B2705,0.34
4of5,HLA_C0303,0.34
1of5,HLA_B1402,0.33
1of5,HLA_B1518,0.33
5of5,HLA_B2709,0.33
1of5,HLA_B3701,0.33
4of5,HLA_B1513,0.33
5of5,HLA_B4901,0.33
5of5,HLA_B5801,0.33
1of5,HLA_B1503,0.33
4of5,HLA_C0403,0.33
5of5,HLA_B1301,0.33
5of5,HLA_C1602,0.33
5of5,HLA_A2407,0.33
1of5,HLA_C0802,0.33
5of5,HLA_B5108,0.32
1of5,HLA_B1501,0.32
2of5,HLA_B1805,0.32
5of5,HLA_B3924,0.32
5of5,HLA_B5101,0.32
1of5,HLA_A3201,0.32
1of5,HLA_A0252,0.32
4of5,HLA_A3303,0.32
5of5,HLA_A0101,0.32
5of5,HLA_C1403,0.32
1of5,HLA_B5108,0.32
5of5,HLA_B1517,0.32
1of5,HLA_C0202,0.32
4of5,HLA_C0704,0.32
2of5,HLA_A6601,0.32
5of5,HLA_B1402,0.32
1of5,HLA_B5701,0.32
4of5,HLA_A6801,0.32
4of5,HLA_B0702,0.32
1of5,HLA_B5703,0.31
1of5,HLA_B1513,0.31
5of5,HLA_B3901,0.31
5of5,HLA_A0252,0.31
4of5,HLA_B3507,0.31
4of5,HLA_B3801,0.31
4of5,HLA_B3905,0.31
5of5,HLA_B2705,0.31
1of5,HLA_A3002,0.31
5of5,HLA_B1803,0.31
4of5,HLA_B4001,0.31
1of5,HLA_B4701,0.31
4of5,HLA_C0702,0.3
1of5,HLA_A7401,0.3
1of5,HLA_A2608,0.3
4of5,HLA_B4201,0.3
2of5,HLA_A0204,0.3
1of5,HLA_A3401,0.3
4of5,HLA_B5301,0.3
2of5,HLA_A2902,0.3
4of5,HLA_B4032,0.3
2of5,HLA_A7401,0.3
1of5,HLA_B1502,0.3
2of5,HLA_A6802,0.3
1of5,HLA_B4405,0.29
1of5,HLA_B5401,0.29
1of5,HLA_B5201,0.29
1of5,HLA_C0704,0.29
1of5,HLA_B4002,0.29
1of5,HLA_B6701,0.29
1of5,HLA_B1302,0.29
1of5,HLA_A3303,0.29
5of5,HLA_B4403,0.29
2of5,HLA_A0207,0.29
5of5,HLA_C1204,0.29
2of5,HLA_A6901,0.29
5of5,HLA_A2301,0.29
1of5,HLA_A3301,0.29
5of5,HLA_B2704,0.29
5of5,HLA_B4405,0.29
4of5,HLA_B4006,0.29
1of5,HLA_C0701,0.29
5of5,HLA_B4402,0.28
4of5,HLA_A0101,0.28
1of5,HLA_B3503,0.28
1of5,HLA_A6801,0.28
1of5,HLA_B3501,0.28
2of5,HLA_A0301,0.28
1of5,HLA_A6601,0.28
2of5,HLA_A0302,0.28
4of5,HLA_B3802,0.28
5of5,HLA_C0403,0.28
1of5,HLA_B3906,0.28
1of5,HLA_C1204,0.28
4of5,HLA_B5001,0.28
1of5,HLA_A0202,0.27
5of5,HLA_A6901,0.27
1of5,HLA_B4403,0.27
1of5,HLA_B1401,0.27
1of5,HLA_B3901,0.27
5of5,HLA_B1401,0.27
1of5,HLA_C0401,0.27
2of5,HLA_A0201,0.27
2of5,HLA_C1502,0.27
2of5,HLA_A0252,0.27
5of5,HLA_B3501,0.27
2of5,HLA_B5703,0.27
4of5,HLA_B6701,0.27
1of5,HLA_B4402,0.27
5of5,HLA_B1805,0.27
5of5,HLA_B3508,0.27
5of5,HLA_B4601,0.27
5of5,HLA_B3801,0.27
5of5,HLA_B3905,0.27
1of5,HLA_B3905,0.26
5of5,HLA_B1518,0.26
1of5,HLA_B4006,0.26
2of5,HLA_B5401,0.26
5of5,HLA_C0701,0.26
2of5,HLA_B5801,0.26
2of5,HLA_C1701,0.26
2of5,HLA_C1204,0.26
4of5,HLA_B5502,0.26
4of5,HLA_B3503,0.26
4of5,HLA_A3401,0.25
5of5,HLA_B1801,0.25
4of5,HLA_B5601,0.25
1of5,HLA_B7301,0.25
5of5,HLA_C0401,0.25
2of5,HLA_B1302,0.25
2of5,HLA_B4701,0.25
2of5,HLA_A3401,0.25
5of5,HLA_B3507,0.25
5of5,HLA_B3503,0.25
1of5,HLA_B0801,0.25
4of5,HLA_B0704,0.25
1of5,HLA_C1602,0.25
2of5,HLA_C0302,0.24
2of5,HLA_A0206,0.24
4of5,HLA_B5401,0.24
2of5,HLA_A2608,0.24
2of5,HLA_B1801,0.24
1of5,HLA_C0702,0.24
4of5,HLA_B7301,0.24
5of5,HLA_B5301,0.24
5of5,HLA_B0702,0.24
5of5,HLA_A3101,0.24
5of5,HLA_B6701,0.24
5of5,HLA_A2902,0.24
5of5,HLA_B4201,0.24
5of5,HLA_A3201,0.24
1of5,HLA_B4501,0.23
4of5,HLA_B5501,0.23
5of5,HLA_B3906,0.23
5of5,HLA_B3802,0.23
1of5,HLA_B3507,0.23
5of5,HLA_B8101,0.23
2of5,HLA_B3905,0.23
2of5,HLA_B3802,0.23
4of5,HLA_A6601,0.23
1of5,HLA_B5802,0.23
4of5,HLA_B1510,0.23
2of5,HLA_B4032,0.22
5of5,HLA_A2601,0.22
4of5,HLA_B3508,0.22
4of5,HLA_A0302,0.22
2of5,HLA_C1203,0.22
4of5,HLA_B1511,0.22
5of5,HLA_C0702,0.22
5of5,HLA_B3502,0.22
2of5,HLA_B3507,0.22
2of5,HLA_B1511,0.22
5of5,HLA_A2608,0.22
2of5,HLA_B3906,0.22
1of5,HLA_B1511,0.22
2of5,HLA_B2705,0.22
2of5,HLA_C0704,0.22
1of5,HLA_C0403,0.22
1of5,HLA_A0302,0.22
2of5,HLA_B5701,0.21
2of5,HLA_C0801,0.21
5of5,HLA_A3601,0.21
5of5,HLA_A2501,0.21
5of5,HLA_B1502,0.21
2of5,HLA_C0202,0.21
4of5,HLA_B3502,0.21
2of5,HLA_B4006,0.21
1of5,HLA_B1301,0.21
1of5,HLA_B5301,0.21
1of5,HLA_B5801,0.21
2of5,HLA_A0205,0.2
2of5,HLA_B5201,0.2
5of5,HLA_B1510,0.2
2of5,HLA_B1301,0.2
2of5,HLA_B2709,0.2
2of5,HLA_B3801,0.2
2of5,HLA_A0203,0.2
2of5,HLA_A0211,0.2
5of5,HLA_A3001,0.2
2of5,HLA_C0602,0.2
2of5,HLA_B4002,0.2
5of5,HLA_A3002,0.2
5of5,HLA_B4006,0.2
2of5,HLA_C0701,0.19
5of5,HLA_B1513,0.19
2of5,HLA_B1517,0.19
2of5,HLA_C0304,0.19
1of5,HLA_A0101,0.19
1of5,HLA_B3502,0.19
1of5,HLA_B4001,0.19
2of5,HLA_B3901,0.19
1of5,HLA_B3801,0.19
5of5,HLA_A1101,0.19
5of5,HLA_B4032,0.19
2of5,HLA_B5101,0.19
2of5,HLA_A3201,0.19
1of5,HLA_B3508,0.18
5of5,HLA_B1511,0.18
2of5,HLA_B0801,0.18
5of5,HLA_B0704,0.17
2of5,HLA_B8101,0.17
5of5,HLA_B5401,0.17
2of5,HLA_B1401,0.17
1of5,HLA_B4801,0.17
5of5,HLA_A0301,0.17
1of5,HLA_A3601,0.17
1of5,HLA_B1801,0.17
2of5,HLA_B5301,0.17
5of5,HLA_A6801,0.17
1of5,HLA_B1805,0.17
2of5,HLA_B5108,0.17
2of5,HLA_A3001,0.17
2of5,HLA_C1202,0.16
2of5,HLA_A2601,0.16
2of5,HLA_C1602,0.16
2of5,HLA_B3503,0.16
5of5,HLA_B5001,0.16
2of5,HLA_B1518,0.16
2of5,HLA_B5802,0.16
5of5,HLA_B5601,0.16
2of5,HLA_B1803,0.15
2of5,HLA_A0101,0.15
2of5,HLA_B4601,0.15
2of5,HLA_A0202,0.15
2of5,HLA_B4001,0.15
2of5,HLA_B4901,0.15
2of5,HLA_B1402,0.15
2of5,HLA_C0303,0.15
2of5,HLA_B5001,0.15
2of5,HLA_B1501,0.15
4of5,HLA_B4501,0.14
5of5,HLA_B5502,0.14
1of5,HLA_B3802,0.14
2of5,HLA_B3508,0.14
2of5,HLA_C1601,0.14
2of5,HLA_B5601,0.14
2of5,HLA_B1513,0.14
2of5,HLA_B4402,0.13
2of5,HLA_C1505,0.13
